index,booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,repeated,p_c,p_not_c,average_price,special_requests,date_of_reservation,booking_status,datetime,season 
9069,INN09070,2,0,2,2,Not Selected,False,Room_Type 1,91,Online,False,0,0,109.65,1,2018-05-22,Not_Canceled,2018-05-22,high
9070,INN09071,2,0,1,0,Not Selected,False,Room_Type 1,6,Offline,False,0,0,75.0,0,2018-08-21,Not_Canceled,2018-08-21,high
9072,INN09073,2,0,0,2,Meal Plan 1,False,Room_Type 1,211,Offline,False,0,0,100.0,0,2018-05-20,Canceled,2018-05-20,high
9073,INN09074,2,0,1,1,Not Selected,False,Room_Type 1,105,Online,False,0,0,107.1,1,2018-08-06,Not_Canceled,2018-08-06,low
9074,INN09075,2,0,1,1,Not Selected,False,Room_Type 1,29,Online,False,0,0,113.55,0,2018-05-21,Canceled,2018-05-21,high
9077,INN09078,2,0,0,2,Meal Plan 2,False,Room_Type 1,0,Offline,False,0,0,109.0,0,2017-08-14,Not_Canceled,2017-08-14,high
9078,INN09079,2,0,1,2,Meal Plan 1,False,Room_Type 1,273,Offline,False,0,0,95.0,0,2018-05-13,Canceled,2018-05-13,low
9079,INN09080,2,1,2,1,Meal Plan 1,False,Room_Type 4,127,Offline,False,0,0,94.78,2,2018-08-27,Canceled,2018-08-27,low
9080,INN09081,2,0,1,3,Meal Plan 1,False,Room_Type 1,136,Online,False,0,0,68.55,0,2018-03-24,Not_Canceled,2018-03-24,high
9081,INN09082,2,0,2,5,Meal Plan 1,False,Room_Type 1,12,Online,False,0,0,89.0,1,2018-01-16,Not_Canceled,2018-01-16,low
9082,INN09083,2,0,2,2,Meal Plan 1,False,Room_Type 4,45,Online,False,0,0,78.54,2,2017-10-16,Not_Canceled,2017-10-16,low
9083,INN09084,3,0,1,0,Meal Plan 1,False,Room_Type 4,63,Online,False,0,0,168.3,1,2018-08-08,Canceled,2018-08-08,low
9084,INN09085,1,0,0,3,Meal Plan 1,False,Room_Type 1,166,Offline,False,0,0,110.0,0,2018-11-01,Canceled,2018-11-01,low
9085,INN09086,3,0,2,2,Meal Plan 1,False,Room_Type 4,8,Online,False,0,0,176.34,3,2018-05-27,Not_Canceled,2018-05-27,high
9087,INN09088,2,0,0,1,Meal Plan 1,False,Room_Type 4,51,Online,False,0,0,158.0,0,2018-05-27,Canceled,2018-05-27,high
9088,INN09089,2,0,1,3,Meal Plan 1,False,Room_Type 1,11,Offline,False,0,0,70.0,0,2018-01-04,Not_Canceled,2018-01-04,low
9089,INN09090,2,0,0,1,Meal Plan 1,False,Room_Type 1,5,Online,False,0,0,130.0,1,2018-08-20,Not_Canceled,2018-08-20,high
9090,INN09091,2,0,1,1,Meal Plan 1,False,Room_Type 1,0,Corporate,True,0,1,75.0,0,2018-11-07,Not_Canceled,2018-11-07,low
9091,INN09092,2,0,2,2,Not Selected,False,Room_Type 1,65,Online,False,0,0,63.58,0,2018-11-19,Not_Canceled,2018-11-19,low
9092,INN09093,2,0,2,1,Meal Plan 1,False,Room_Type 1,54,Offline,False,0,0,75.0,0,2018-04-02,Not_Canceled,2018-04-02,low
9093,INN09094,2,0,0,2,Not Selected,False,Room_Type 1,70,Online,False,0,0,97.2,2,2018-10-18,Not_Canceled,2018-10-18,high
9094,INN09095,2,0,1,2,Meal Plan 1,False,Room_Type 4,18,Online,False,0,0,148.0,2,2018-12-30,Not_Canceled,2018-12-30,low
9095,INN09096,2,0,1,3,Meal Plan 1,False,Room_Type 1,71,Online,False,0,0,95.25,0,2018-03-03,Not_Canceled,2018-03-03,low
9096,INN09097,2,0,2,1,Meal Plan 1,False,Room_Type 4,44,Offline,False,0,0,60.0,0,2017-11-08,Not_Canceled,2017-11-08,high
9097,INN09098,2,2,2,2,Meal Plan 1,False,Room_Type 6,42,Online,False,0,0,168.63,0,2018-03-20,Canceled,2018-03-20,low
9098,INN09099,2,0,0,3,Meal Plan 1,False,Room_Type 4,101,Online,False,0,0,140.4,2,2018-05-19,Not_Canceled,2018-05-19,high
9099,INN09100,2,0,0,1,Meal Plan 2,False,Room_Type 1,55,Offline,False,0,0,104.0,0,2018-04-06,Not_Canceled,2018-04-06,low
9100,INN09101,2,0,0,3,Meal Plan 2,False,Room_Type 4,2,Online,False,0,0,168.0,1,2018-11-17,Canceled,2018-11-17,low
9101,INN09102,1,0,2,1,Meal Plan 1,False,Room_Type 1,12,Online,False,0,0,6.0,0,2018-10-02,Not_Canceled,2018-10-02,low
9102,INN09103,1,0,0,2,Meal Plan 1,False,Room_Type 1,164,Offline,False,0,0,100.0,0,2017-10-02,Not_Canceled,2017-10-02,low
9103,INN09104,3,0,2,1,Meal Plan 1,False,Room_Type 4,180,Online,False,0,0,141.3,3,2018-10-08,Not_Canceled,2018-10-08,low
9105,INN09106,2,0,1,3,Meal Plan 1,False,Room_Type 1,7,Online,False,0,0,98.13,2,2018-11-24,Not_Canceled,2018-11-24,high
9107,INN09108,1,0,0,1,Meal Plan 1,False,Room_Type 1,5,Online,False,0,0,79.0,1,2018-02-02,Not_Canceled,2018-02-02,low
9109,INN09110,2,0,1,0,Not Selected,False,Room_Type 1,48,Online,False,0,0,79.2,1,2018-11-06,Not_Canceled,2018-11-06,high
9110,INN09111,2,0,2,5,Not Selected,False,Room_Type 1,127,Online,False,0,0,108.0,2,2018-10-03,Not_Canceled,2018-10-03,low
9111,INN09112,3,0,0,2,Meal Plan 2,False,Room_Type 4,57,Online,False,0,0,202.5,2,2018-10-12,Not_Canceled,2018-10-12,high
9113,INN09114,1,0,0,2,Meal Plan 1,False,Room_Type 1,2,Corporate,True,1,6,65.0,1,2018-11-30,Not_Canceled,2018-11-30,high
9114,INN09115,2,0,1,2,Meal Plan 1,False,Room_Type 1,3,Online,False,0,0,126.67,2,2017-08-14,Not_Canceled,2017-08-14,high
9115,INN09116,1,0,0,1,Meal Plan 1,False,Room_Type 1,37,Offline,False,0,0,67.5,0,2018-11-12,Not_Canceled,2018-11-12,high
9116,INN09117,2,0,0,2,Meal Plan 1,False,Room_Type 1,49,Online,False,0,0,99.0,1,2018-03-23,Canceled,2018-03-23,low
9117,INN09118,2,1,0,1,Meal Plan 1,False,Room_Type 1,84,Online,False,0,0,122.0,0,2018-12-22,Canceled,2018-12-22,low
9118,INN09119,1,0,0,1,Meal Plan 1,False,Room_Type 1,1,Offline,False,0,0,75.0,0,2018-11-29,Not_Canceled,2018-11-29,low
9119,INN09120,2,0,2,2,Meal Plan 1,False,Room_Type 4,22,Online,False,0,0,166.0,0,2018-08-21,Canceled,2018-08-21,low
9120,INN09121,2,0,2,1,Meal Plan 1,False,Room_Type 1,53,Offline,False,0,0,77.04,0,2018-08-27,Canceled,2018-08-27,low
9121,INN09122,2,0,0,2,Meal Plan 2,False,Room_Type 1,257,Offline,False,0,0,101.5,0,2017-07-01,Canceled,2017-07-01,low
9122,INN09123,2,0,1,2,Meal Plan 1,False,Room_Type 4,68,Online,False,0,0,137.4,1,2018-06-03,Not_Canceled,2018-06-03,high
9123,INN09124,1,0,0,1,Meal Plan 1,False,Room_Type 1,99,Corporate,False,0,0,80.0,0,2018-02-19,Not_Canceled,2018-02-19,low
9124,INN09125,2,0,2,2,Meal Plan 1,False,Room_Type 1,15,Online,False,0,0,100.0,1,2018-03-12,Not_Canceled,2018-03-12,low
9125,INN09126,2,0,0,2,Meal Plan 1,True,Room_Type 4,88,Online,False,0,0,158.4,1,2018-09-16,Not_Canceled,2018-09-16,high
9126,INN09127,2,1,2,2,Meal Plan 1,False,Room_Type 4,77,Online,False,0,0,147.6,0,2018-08-26,Canceled,2018-08-26,low
9127,INN09128,2,0,2,2,Not Selected,False,Room_Type 1,72,Online,False,0,0,109.65,0,2018-05-29,Canceled,2018-05-29,high
9128,INN09129,2,0,1,2,Meal Plan 1,False,Room_Type 1,69,Online,False,0,0,126.9,1,2018-06-17,Not_Canceled,2018-06-17,high
9129,INN09130,2,1,0,3,Meal Plan 1,False,Room_Type 1,60,Online,False,0,0,107.1,1,2018-03-31,Canceled,2018-03-31,low
9130,INN09131,2,0,1,0,Not Selected,False,Room_Type 1,49,Online,False,0,0,93.15,0,2018-07-11,Canceled,2018-07-11,high
9131,INN09132,2,0,0,3,Not Selected,False,Room_Type 1,29,Offline,False,0,0,64.8,0,2018-03-23,Not_Canceled,2018-03-23,low
9132,INN09133,2,1,2,2,Meal Plan 2,False,Room_Type 1,17,Online,False,0,0,148.38,2,2018-05-07,Not_Canceled,2018-05-07,low
9133,INN09134,1,0,0,2,Meal Plan 1,False,Room_Type 1,1,Aviation,False,0,0,95.0,0,2018-04-14,Not_Canceled,2018-04-14,low
9134,INN09135,2,0,2,3,Meal Plan 1,False,Room_Type 1,268,Offline,False,0,0,80.75,0,2018-10-09,Not_Canceled,2018-10-09,high
9135,INN09136,2,0,0,1,Meal Plan 1,True,Room_Type 1,8,Online,False,0,0,100.0,1,2018-06-23,Not_Canceled,2018-06-23,high
9136,INN09137,2,0,0,4,Not Selected,False,Room_Type 1,20,Online,False,0,0,63.2,0,2018-02-10,Canceled,2018-02-10,low
9137,INN09138,2,0,2,1,Not Selected,False,Room_Type 1,20,Online,False,0,0,107.67,0,2018-03-19,Not_Canceled,2018-03-19,low
9138,INN09139,2,0,1,2,Meal Plan 1,False,Room_Type 1,104,Offline,False,0,0,75.0,0,2018-05-16,Not_Canceled,2018-05-16,high
9140,INN09141,2,0,1,3,Meal Plan 1,False,Room_Type 6,281,Online,False,0,0,168.3,0,2018-10-03,Canceled,2018-10-03,high
9141,INN09142,2,0,0,2,Meal Plan 2,False,Room_Type 4,30,Online,False,0,0,157.5,0,2018-04-14,Canceled,2018-04-14,low
9142,INN09143,2,0,1,5,Meal Plan 1,False,Room_Type 1,144,Online,False,0,0,100.87,1,2018-07-25,Not_Canceled,2018-07-25,high
9143,INN09144,2,2,0,2,Meal Plan 1,False,Room_Type 6,204,Online,False,0,0,180.9,1,2018-10-07,Canceled,2018-10-07,low
9144,INN09145,3,0,2,3,Meal Plan 1,False,Room_Type 6,74,Offline,False,0,0,112.0,0,2018-02-21,Not_Canceled,2018-02-21,low
9145,INN09146,2,0,0,3,Meal Plan 1,False,Room_Type 4,62,Online,False,0,0,132.3,2,2018-10-13,Not_Canceled,2018-10-13,high
9146,INN09147,2,0,2,1,Meal Plan 2,False,Room_Type 1,150,Offline,False,0,0,101.0,0,2018-01-02,Not_Canceled,2018-01-02,high
9147,INN09148,1,0,1,2,Meal Plan 1,False,Room_Type 1,82,Online,False,0,0,81.9,0,2018-04-01,Not_Canceled,2018-04-01,high
9148,INN09149,2,0,1,3,Meal Plan 1,False,Room_Type 1,82,Online,False,0,0,88.01,1,2018-06-30,Not_Canceled,2018-06-30,low
9149,INN09150,2,0,2,2,Not Selected,False,Room_Type 1,31,Online,False,0,0,98.1,1,2018-06-26,Not_Canceled,2018-06-26,high
9150,INN09151,2,0,2,0,Meal Plan 2,False,Room_Type 1,275,Offline,False,0,0,110.0,0,2018-04-17,Canceled,2018-04-17,low
9151,INN09152,2,0,1,3,Meal Plan 1,False,Room_Type 4,79,Online,False,0,0,125.38,0,2018-04-28,Not_Canceled,2018-04-28,high
9152,INN09153,3,0,0,2,Meal Plan 1,False,Room_Type 1,164,Online,False,0,0,145.8,2,2018-08-24,Canceled,2018-08-24,low
9154,INN09155,1,0,0,1,Meal Plan 1,False,Room_Type 4,2,Offline,False,0,0,55.0,0,2018-03-02,Not_Canceled,2018-03-02,low
9155,INN09156,2,0,0,3,Meal Plan 1,False,Room_Type 1,41,Offline,False,0,0,75.0,0,2018-11-02,Not_Canceled,2018-11-02,high
9156,INN09157,2,1,2,5,Meal Plan 1,False,Room_Type 4,137,Online,False,0,0,114.28,1,2018-10-15,Not_Canceled,2018-10-15,low
9157,INN09158,2,0,0,1,Meal Plan 1,False,Room_Type 1,4,Offline,False,0,0,72.8,0,2018-02-16,Not_Canceled,2018-02-16,low
9158,INN09159,1,0,0,1,Meal Plan 1,False,Room_Type 1,2,Online,False,0,0,80.0,1,2018-01-30,Not_Canceled,2018-01-30,low
9159,INN09160,2,0,2,3,Meal Plan 1,False,Room_Type 1,41,Offline,False,0,0,65.0,0,2018-02-07,Not_Canceled,2018-02-07,low
9160,INN09161,3,0,0,4,Meal Plan 1,False,Room_Type 4,98,Online,False,0,0,146.7,0,2018-06-29,Canceled,2018-06-29,low
9161,INN09162,1,0,2,2,Meal Plan 1,False,Room_Type 1,163,Offline,False,0,0,100.0,0,2018-06-05,Canceled,2018-06-05,low
9162,INN09163,1,0,1,0,Meal Plan 1,False,Room_Type 1,34,Offline,False,0,0,69.3,0,2017-10-18,Not_Canceled,2017-10-18,low
9163,INN09164,2,0,2,2,Meal Plan 1,False,Room_Type 1,87,Online,False,0,0,56.94,1,2018-03-20,Not_Canceled,2018-03-20,high
9164,INN09165,2,1,0,2,Meal Plan 1,False,Room_Type 6,49,Online,False,0,0,198.9,0,2018-07-20,Canceled,2018-07-20,low
9165,INN09166,3,0,0,4,Meal Plan 1,False,Room_Type 4,57,Online,False,0,0,116.45,0,2018-03-29,Canceled,2018-03-29,low
9166,INN09167,2,0,0,1,Meal Plan 1,False,Room_Type 1,56,Offline,False,0,0,120.0,0,2018-06-08,Not_Canceled,2018-06-08,high
9168,INN09169,3,0,0,1,Meal Plan 1,False,Room_Type 4,40,Online,False,0,0,176.4,2,2018-10-15,Not_Canceled,2018-10-15,low
9169,INN09170,2,0,0,5,Not Selected,False,Room_Type 1,104,Online,False,0,0,79.2,0,2018-11-01,Canceled,2018-11-01,low
9170,INN09171,2,1,1,3,Meal Plan 1,False,Room_Type 1,180,Online,False,0,0,114.75,0,2018-08-11,Canceled,2018-08-11,low
9172,INN09173,2,2,0,1,Meal Plan 1,False,Room_Type 6,76,Online,False,0,0,207.9,0,2018-08-13,Canceled,2018-08-13,low
9173,INN09174,1,0,2,3,Meal Plan 1,False,Room_Type 4,54,Corporate,False,0,0,94.0,0,2018-11-06,Not_Canceled,2018-11-06,high
9174,INN09175,1,0,2,0,Not Selected,False,Room_Type 1,10,Online,False,0,0,118.0,1,2018-08-28,Canceled,2018-08-28,low
9175,INN09176,2,0,1,1,Meal Plan 1,False,Room_Type 1,221,Offline,False,0,0,71.28,0,2018-12-31,Not_Canceled,2018-12-31,high
9176,INN09177,2,0,0,1,Meal Plan 1,False,Room_Type 1,134,Offline,False,0,0,63.75,1,2017-08-20,Not_Canceled,2017-08-20,low
9177,INN09178,2,0,1,2,Meal Plan 1,False,Room_Type 1,37,Offline,False,0,0,70.0,0,2017-12-14,Not_Canceled,2017-12-14,low
9178,INN09179,2,0,0,2,Meal Plan 1,False,Room_Type 1,59,Offline,False,0,0,75.0,0,2018-11-11,Not_Canceled,2018-11-11,low
9179,INN09180,2,0,0,3,Meal Plan 1,False,Room_Type 1,143,Offline,False,0,0,100.0,0,2018-08-25,Not_Canceled,2018-08-25,low
9180,INN09181,3,0,2,4,Meal Plan 1,False,Room_Type 4,111,Online,False,0,0,168.3,1,2018-09-17,Not_Canceled,2018-09-17,low
9182,INN09183,2,0,0,3,Not Selected,False,Room_Type 1,134,Online,False,0,0,94.5,0,2018-05-17,Canceled,2018-05-17,low
9183,INN09184,1,0,0,1,Meal Plan 1,True,Room_Type 1,52,Corporate,True,0,2,67.0,0,2018-10-13,Not_Canceled,2018-10-13,high
9185,INN09186,1,0,2,3,Meal Plan 1,False,Room_Type 1,41,Online,False,0,0,105.0,2,2017-10-18,Not_Canceled,2017-10-18,low
9186,INN09187,2,0,0,4,Meal Plan 1,False,Room_Type 1,85,Online,False,0,0,82.45,0,2018-03-29,Not_Canceled,2018-03-29,high
9187,INN09188,2,0,2,1,Meal Plan 1,False,Room_Type 4,53,Online,False,0,0,96.3,0,2018-03-06,Canceled,2018-03-06,low
9188,INN09189,2,0,1,1,Meal Plan 1,False,Room_Type 1,137,Offline,False,0,0,89.75,0,2018-09-12,Not_Canceled,2018-09-12,low
9189,INN09190,2,0,1,1,Meal Plan 1,True,Room_Type 1,98,Offline,False,0,0,89.75,0,2018-05-30,Not_Canceled,2018-05-30,low
9190,INN09191,2,0,0,2,Not Selected,False,Room_Type 1,5,Online,False,0,0,119.0,0,2018-05-31,Not_Canceled,2018-05-31,high
9191,INN09192,2,0,2,3,Meal Plan 1,False,Room_Type 2,3,Online,False,0,0,87.7,0,2017-11-08,Not_Canceled,2017-11-08,low
9192,INN09193,2,1,0,3,Meal Plan 1,False,Room_Type 1,95,Online,False,0,0,121.5,2,2018-07-13,Not_Canceled,2018-07-13,low
9193,INN09194,2,0,0,3,Meal Plan 1,False,Room_Type 6,20,Online,False,0,0,196.0,2,2017-10-27,Not_Canceled,2017-10-27,low
9194,INN09195,2,0,1,2,Meal Plan 1,False,Room_Type 1,35,Online,False,0,0,129.0,1,2018-10-28,Not_Canceled,2018-10-28,high
9195,INN09196,1,0,1,0,Meal Plan 1,False,Room_Type 1,8,Online,False,0,0,103.0,2,2018-11-21,Not_Canceled,2018-11-21,low
9196,INN09197,2,0,2,3,Not Selected,False,Room_Type 1,28,Online,False,0,0,103.4,2,2018-10-29,Not_Canceled,2018-10-29,low
9197,INN09198,2,0,0,3,Meal Plan 1,False,Room_Type 1,111,Offline,False,0,0,72.25,0,2018-07-13,Not_Canceled,2018-07-13,low
9198,INN09199,2,0,2,0,Not Selected,False,Room_Type 1,22,Online,False,0,0,139.0,1,2018-08-21,Canceled,2018-08-21,low
9199,INN09200,2,2,0,2,Meal Plan 1,False,Room_Type 6,145,Online,False,0,0,181.8,2,2018-08-17,Not_Canceled,2018-08-17,low
9201,INN09202,2,0,0,2,Meal Plan 2,False,Room_Type 1,0,Offline,False,0,0,109.0,0,2017-08-14,Not_Canceled,2017-08-14,high
9204,INN09205,2,0,1,2,Meal Plan 1,False,Room_Type 4,0,Complementary,False,0,0,0.0,2,2018-09-16,Not_Canceled,2018-09-16,low
9205,INN09206,2,0,1,3,Not Selected,False,Room_Type 1,19,Online,False,0,0,74.8,2,2018-11-24,Not_Canceled,2018-11-24,high
9206,INN09207,2,0,0,5,Meal Plan 1,False,Room_Type 1,67,Online,False,0,0,64.67,1,2018-12-20,Not_Canceled,2018-12-20,low
9207,INN09208,2,0,2,2,Not Selected,False,Room_Type 1,17,Online,False,0,0,76.29,1,2018-12-02,Not_Canceled,2018-12-02,high
9208,INN09209,2,0,2,5,Meal Plan 1,False,Room_Type 1,257,Online,False,0,0,73.95,0,2018-12-17,Canceled,2018-12-17,high
9209,INN09210,2,0,2,3,Meal Plan 1,False,Room_Type 4,99,Online,False,0,0,134.16,2,2018-05-06,Not_Canceled,2018-05-06,high
9210,INN09211,2,0,1,2,Meal Plan 1,False,Room_Type 4,52,Online,False,0,0,108.11,2,2018-05-27,Not_Canceled,2018-05-27,high
9211,INN09212,2,0,2,3,Not Selected,False,Room_Type 1,117,Online,False,0,0,105.26,0,2018-06-09,Not_Canceled,2018-06-09,low
9212,INN09213,2,1,0,2,Meal Plan 1,False,Room_Type 1,12,Online,False,0,0,180.0,1,2018-10-21,Not_Canceled,2018-10-21,low
9213,INN09214,2,0,0,2,Not Selected,True,Room_Type 6,0,Online,False,0,0,162.0,1,2017-08-07,Not_Canceled,2017-08-07,high
9214,INN09215,2,0,0,4,Meal Plan 1,False,Room_Type 4,58,Online,False,0,0,98.6,1,2018-03-29,Not_Canceled,2018-03-29,low
9215,INN09216,2,0,0,2,Meal Plan 1,False,Room_Type 1,211,Offline,False,0,0,100.0,0,2018-05-20,Canceled,2018-05-20,high
9216,INN09217,2,0,1,1,Meal Plan 2,False,Room_Type 1,4,Offline,False,0,0,112.0,1,2018-05-21,Not_Canceled,2018-05-21,low
9217,INN09218,2,0,0,2,Meal Plan 1,False,Room_Type 1,79,Offline,False,0,0,75.0,0,2017-11-13,Not_Canceled,2017-11-13,low
9218,INN09219,2,0,0,2,Meal Plan 1,False,Room_Type 1,211,Offline,False,0,0,100.0,0,2018-05-20,Canceled,2018-05-20,high
9219,INN09220,1,0,0,2,Meal Plan 1,False,Room_Type 1,12,Offline,False,0,0,71.0,0,2018-01-19,Not_Canceled,2018-01-19,low
9220,INN09221,2,0,0,2,Meal Plan 1,False,Room_Type 1,211,Offline,False,0,0,100.0,0,2018-05-20,Canceled,2018-05-20,high
9221,INN09222,1,0,2,1,Meal Plan 2,False,Room_Type 1,220,Offline,False,0,0,128.0,0,2018-09-17,Canceled,2018-09-17,low
9222,INN09223,3,0,2,3,Meal Plan 1,False,Room_Type 4,22,Online,False,0,0,191.0,0,2018-08-21,Canceled,2018-08-21,low
9223,INN09224,2,0,1,2,Meal Plan 1,False,Room_Type 4,46,Offline,False,0,0,60.0,0,2017-11-13,Not_Canceled,2017-11-13,high
9224,INN09225,2,0,0,2,Meal Plan 1,False,Room_Type 4,37,Online,False,0,0,105.3,2,2017-10-22,Not_Canceled,2017-10-22,low
9225,INN09226,2,0,2,7,Meal Plan 1,False,Room_Type 1,80,Online,False,0,0,63.46,0,2017-07-31,Not_Canceled,2017-07-31,low
9226,INN09227,2,0,2,1,Meal Plan 2,False,Room_Type 1,220,Offline,False,0,0,172.0,0,2018-09-17,Canceled,2018-09-17,low
9228,INN09229,2,0,0,3,Meal Plan 1,False,Room_Type 4,52,Online,False,0,0,140.4,0,2018-05-11,Canceled,2018-05-11,high
9229,INN09230,2,0,1,1,Not Selected,False,Room_Type 1,155,Online,False,0,0,103.5,0,2018-07-18,Canceled,2018-07-18,high
9231,INN09232,2,0,2,2,Not Selected,False,Room_Type 1,208,Online,False,0,0,80.75,0,2018-07-30,Canceled,2018-07-30,low
9232,INN09233,2,0,2,3,Meal Plan 1,False,Room_Type 1,136,Online,False,0,0,86.36,1,2018-08-11,Not_Canceled,2018-08-11,high
9233,INN09234,2,0,2,0,Meal Plan 2,False,Room_Type 1,75,Offline,False,0,0,105.0,0,2018-10-30,Canceled,2018-10-30,low
9234,INN09235,2,0,2,1,Meal Plan 2,False,Room_Type 1,145,Offline,False,0,0,94.5,0,2017-08-29,Not_Canceled,2017-08-29,low
9235,INN09236,1,0,0,2,Meal Plan 1,False,Room_Type 1,172,Offline,False,0,0,95.0,0,2018-06-24,Canceled,2018-06-24,high
9236,INN09237,3,0,0,4,Meal Plan 1,False,Room_Type 4,106,Online,False,0,0,152.1,0,2018-08-24,Canceled,2018-08-24,high
9237,INN09238,3,0,2,2,Meal Plan 1,False,Room_Type 1,144,Offline,False,0,0,96.9,0,2018-07-22,Not_Canceled,2018-07-22,high
9238,INN09239,2,0,0,2,Meal Plan 1,False,Room_Type 1,30,Offline,False,0,0,140.0,0,2018-06-02,Not_Canceled,2018-06-02,high
9239,INN09240,2,0,1,5,Meal Plan 1,False,Room_Type 1,70,Offline,False,0,0,85.0,1,2018-07-11,Not_Canceled,2018-07-11,low
9241,INN09242,1,0,1,0,Meal Plan 1,False,Room_Type 1,164,Offline,False,0,0,115.0,0,2018-10-16,Canceled,2018-10-16,low
9242,INN09243,2,2,1,2,Meal Plan 1,False,Room_Type 7,66,Online,False,0,0,184.52,1,2018-10-24,Not_Canceled,2018-10-24,high
9243,INN09244,2,0,0,5,Meal Plan 1,False,Room_Type 1,254,Online,False,0,0,90.95,0,2018-10-25,Canceled,2018-10-25,high
9244,INN09245,2,0,2,2,Meal Plan 1,False,Room_Type 4,34,Offline,False,0,0,73.8,0,2018-03-20,Not_Canceled,2018-03-20,low
9247,INN09248,2,0,2,1,Not Selected,False,Room_Type 1,45,Online,False,0,0,95.1,1,2018-06-26,Not_Canceled,2018-06-26,high
9248,INN09249,2,2,2,3,Meal Plan 2,False,Room_Type 6,99,Online,False,0,0,236.52,0,2018-10-21,Canceled,2018-10-21,low
9249,INN09250,2,0,2,1,Meal Plan 2,False,Room_Type 1,23,Offline,False,0,0,109.0,0,2018-01-02,Not_Canceled,2018-01-02,low
9251,INN09252,1,0,2,1,Meal Plan 1,False,Room_Type 1,5,Online,False,0,0,96.0,0,2017-10-04,Not_Canceled,2017-10-04,low
9252,INN09253,1,0,0,3,Meal Plan 1,False,Room_Type 1,134,Online,False,0,0,90.9,0,2018-06-30,Canceled,2018-06-30,low
9253,INN09254,2,0,1,2,Meal Plan 1,False,Room_Type 1,193,Offline,False,0,0,120.0,0,2018-06-20,Canceled,2018-06-20,high
9254,INN09255,3,0,1,3,Meal Plan 1,False,Room_Type 4,156,Online,False,0,0,122.63,2,2018-10-31,Canceled,2018-10-31,low
9255,INN09256,1,0,0,1,Meal Plan 1,True,Room_Type 1,12,Corporate,True,0,9,67.0,1,2018-10-12,Not_Canceled,2018-10-12,low
9256,INN09257,2,0,0,1,Meal Plan 1,False,Room_Type 1,93,Offline,False,0,0,72.25,0,2018-07-23,Not_Canceled,2018-07-23,low
9257,INN09258,2,0,1,2,Meal Plan 1,False,Room_Type 1,233,Offline,False,0,0,90.0,0,2018-10-14,Canceled,2018-10-14,high
9258,INN09259,2,0,1,4,Meal Plan 1,False,Room_Type 1,37,Online,False,0,0,94.18,2,2017-11-25,Not_Canceled,2017-11-25,low
9259,INN09260,2,0,1,0,Not Selected,False,Room_Type 1,22,Online,False,0,0,89.0,2,2018-09-12,Not_Canceled,2018-09-12,low
9260,INN09261,2,0,1,2,Meal Plan 2,False,Room_Type 1,161,Offline,False,0,0,130.0,0,2018-03-25,Canceled,2018-03-25,low
9261,INN09262,2,0,1,2,Meal Plan 1,False,Room_Type 1,91,Offline,False,0,0,80.0,0,2018-04-04,Canceled,2018-04-04,high
9262,INN09263,2,0,0,2,Meal Plan 1,False,Room_Type 1,65,Online,False,0,0,68.85,1,2017-07-10,Canceled,2017-07-10,low
9263,INN09264,1,1,0,3,Meal Plan 1,False,Room_Type 1,108,Online,False,0,0,92.4,0,2018-05-04,Not_Canceled,2018-05-04,high
9264,INN09265,2,0,1,2,Meal Plan 1,False,Room_Type 4,133,Online,False,0,0,109.8,0,2018-06-27,Canceled,2018-06-27,low
9265,INN09266,2,0,0,1,Meal Plan 1,False,Room_Type 4,19,Online,False,0,0,156.0,0,2018-04-30,Canceled,2018-04-30,low
9266,INN09267,1,0,0,1,Meal Plan 1,False,Room_Type 1,15,Online,False,0,0,124.0,1,2018-08-17,Not_Canceled,2018-08-17,low
9267,INN09268,2,0,2,0,Meal Plan 1,False,Room_Type 1,26,Online,False,0,0,160.0,1,2018-10-02,Not_Canceled,2018-10-02,low
9268,INN09269,2,0,0,1,Not Selected,False,Room_Type 1,0,Online,False,0,0,73.81,0,2018-08-02,Not_Canceled,2018-08-02,high
9269,INN09270,1,0,0,1,Meal Plan 1,False,Room_Type 1,2,Online,False,0,0,80.0,0,2018-01-29,Not_Canceled,2018-01-29,low
9271,INN09272,2,0,0,3,Meal Plan 1,False,Room_Type 1,68,Online,False,0,0,93.78,0,2017-12-30,Not_Canceled,2017-12-30,low
9272,INN09273,2,0,0,1,Meal Plan 2,False,Room_Type 1,5,Online,False,0,0,130.13,0,2018-04-28,Not_Canceled,2018-04-28,low
9273,INN09274,1,0,0,1,Meal Plan 2,False,Room_Type 1,40,Offline,False,0,0,95.0,0,2018-07-26,Not_Canceled,2018-07-26,low
9274,INN09275,2,0,2,1,Meal Plan 2,False,Room_Type 1,96,Offline,False,0,0,94.5,0,2017-07-11,Not_Canceled,2017-07-11,low
9275,INN09276,2,0,1,0,Meal Plan 1,False,Room_Type 1,18,Offline,False,0,0,80.0,0,2018-12-11,Not_Canceled,2018-12-11,high
9276,INN09277,1,0,2,2,Meal Plan 1,False,Room_Type 4,86,Online,False,0,0,146.6,1,2018-11-06,Canceled,2018-11-06,low
9277,INN09278,2,0,0,2,Meal Plan 1,False,Room_Type 1,217,Online,False,0,0,126.9,2,2018-09-15,Canceled,2018-09-15,low
