index,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,lead_time,average_price,special_requests,date_of_reservation,booking_status,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,market_segment_type_Other,room_type_Other,room_type_Room_Type 1,room_type_Room_Type 4,season_high,season_low,type_of_meal_Meal Plan 1,type_of_meal_Meal Plan 2,type_of_meal_Not Selected 
8520,2,0,1,3,63,65.66,1,2018-02-15,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8521,2,0,1,1,35,76.5,1,2017-10-26,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8522,2,0,1,4,142,116.95,1,2018-08-08,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8523,2,0,2,5,185,90.95,0,2018-07-18,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8527,1,0,0,5,77,108.65,2,2018-08-23,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8529,2,0,1,3,63,99.9,3,2018-06-20,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8530,3,0,0,1,28,147.0,2,2018-06-21,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8531,2,0,0,1,46,99.0,0,2018-03-24,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8532,1,0,1,5,43,68.47,0,2018-03-08,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8535,2,0,1,3,210,90.95,1,2018-08-15,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8537,3,0,0,4,84,137.7,0,2018-07-13,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8538,2,0,2,3,44,85.5,3,2018-08-28,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8539,2,0,0,2,39,109.0,0,2017-08-14,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8540,2,0,1,0,51,109.8,2,2018-09-04,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8542,3,0,2,0,42,168.3,1,2018-07-24,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8544,2,0,0,3,73,149.4,1,2018-06-16,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8545,1,0,0,2,39,87.0,0,2017-08-14,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8548,2,0,1,0,1,89.0,2,2018-04-17,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8549,3,0,0,2,12,127.0,1,2018-02-26,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8551,2,0,0,3,137,105.3,0,2018-04-21,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8556,2,0,2,1,35,81.9,0,2018-03-13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8557,2,0,0,2,74,101.5,0,2017-09-18,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
8559,2,0,0,4,2,118.76,0,2018-05-31,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8563,1,0,0,1,2,81.0,1,2017-12-15,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8564,2,0,0,2,122,114.3,0,2018-05-12,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8566,1,0,1,1,6,104.5,2,2017-09-07,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8567,2,0,0,1,55,104.0,0,2018-04-06,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8568,1,0,1,2,11,104.0,0,2018-04-11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8574,2,0,1,2,12,154.0,0,2018-09-05,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8575,2,0,0,1,4,79.0,0,2018-02-16,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8579,2,0,1,3,13,66.0,0,2018-02-01,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8581,2,0,2,1,64,99.3,1,2018-04-17,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8582,2,0,0,3,65,105.9,0,2018-04-26,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8583,2,0,0,2,18,139.0,1,2018-07-15,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8584,1,0,1,2,20,119.0,0,2018-09-19,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8585,1,0,1,2,219,76.67,0,2017-09-04,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8587,2,0,1,3,70,126.9,1,2018-06-09,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8588,2,0,2,4,83,48.33,0,2018-03-12,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8590,2,0,1,0,2,89.0,1,2018-05-08,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8591,2,0,0,4,74,99.45,1,2018-04-13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8592,2,0,1,3,108,72.25,3,2017-12-21,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8593,1,0,0,2,22,95.0,2,2017-09-03,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8594,2,0,2,1,16,129.0,2,2018-08-21,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8595,1,0,0,3,113,100.0,0,2018-05-31,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8596,2,1,1,3,6,109.0,1,2018-02-04,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8600,1,0,2,7,111,60.0,0,2018-02-23,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8601,2,0,1,2,161,130.0,0,2018-03-25,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8602,2,0,0,2,15,93.0,0,2018-02-25,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8603,2,0,0,3,12,65.0,0,2017-08-05,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8604,1,0,1,3,4,88.0,0,2018-03-07,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8605,2,0,0,3,44,75.0,0,2018-02-17,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8606,2,0,1,3,75,80.0,0,2018-03-17,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8607,3,0,2,2,117,130.05,2,2018-07-16,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8609,2,0,2,1,39,126.9,0,2018-05-21,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8610,2,0,2,1,199,105.3,2,2018-07-23,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8612,2,0,0,2,74,109.0,0,2017-09-18,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
8614,2,0,2,2,7,134.0,1,2018-09-09,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8615,2,0,1,0,4,60.4,0,2018-02-14,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8616,3,0,1,1,79,115.6,1,2018-04-25,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8617,1,0,1,0,86,65.0,0,2018-06-26,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8620,1,0,1,1,6,104.0,0,2018-04-18,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8621,2,0,0,1,26,120.0,0,2018-06-08,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8623,2,0,0,2,50,94.5,1,2017-10-21,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8627,3,0,1,4,184,96.9,1,2018-07-11,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8628,2,0,1,2,58,123.3,2,2018-09-02,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8629,1,0,0,1,0,80.0,2,2017-08-06,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8630,2,0,1,0,0,116.0,0,2018-01-24,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8632,2,1,0,4,37,75.0,1,2017-10-28,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8633,2,0,2,2,32,85.0,0,2018-03-13,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8634,2,2,0,1,0,83.03,0,2018-03-08,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8635,2,0,2,5,214,90.95,1,2018-08-09,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8636,2,1,2,1,13,109.0,2,2018-02-13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8637,1,0,0,1,55,79.0,0,2018-07-07,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8638,2,1,0,1,4,100.08,1,2018-07-06,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8639,2,0,1,3,168,90.95,0,2018-07-04,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8640,2,0,1,2,3,123.0,0,2017-10-19,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8641,2,0,3,9,215,99.45,1,2018-07-06,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8642,2,0,1,2,28,99.63,1,2018-02-12,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8643,2,0,0,4,135,92.28,1,2018-06-14,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8647,2,0,0,2,26,110.0,1,2018-08-31,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8649,1,0,0,1,221,73.0,0,2018-08-12,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8650,2,0,1,3,87,70.03,1,2018-03-24,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8651,2,0,1,1,12,64.0,1,2017-12-05,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8652,2,0,0,3,188,116.1,1,2018-09-01,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8653,2,2,0,1,140,177.3,0,2018-05-07,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8654,2,0,0,2,39,161.1,0,2018-03-31,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8655,2,0,2,1,96,85.0,0,2018-08-28,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
8657,2,0,1,2,5,136.0,1,2018-04-22,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8659,1,0,0,2,57,85.5,3,2017-10-28,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8660,2,0,1,2,121,90.0,0,2018-06-24,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8661,2,0,1,3,157,101.58,1,2018-07-11,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8662,2,0,2,1,100,72.25,2,2017-12-12,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8663,2,0,1,1,159,70.0,1,2018-04-09,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8664,1,0,1,2,6,97.02,1,2018-05-23,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8666,1,0,1,1,4,65.0,1,2018-02-15,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8667,2,0,0,2,21,141.0,0,2018-05-24,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8669,1,0,0,3,191,95.0,0,2018-06-23,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8673,1,0,0,2,52,75.0,0,2018-09-16,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8674,3,0,0,3,17,173.67,1,2018-07-28,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8675,2,0,2,1,102,48.67,2,2018-01-03,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8676,1,0,2,2,39,94.5,2,2017-10-18,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8677,2,0,0,4,35,92.33,1,2017-09-29,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8679,2,0,1,1,85,114.3,2,2018-07-02,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8680,1,0,3,6,138,68.0,1,2017-07-11,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8681,3,0,2,4,2,91.68,1,2017-12-23,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8682,2,0,1,3,18,80.75,0,2018-05-30,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8683,2,0,2,2,99,65.0,0,2017-10-30,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8684,2,0,2,0,61,91.0,1,2017-10-04,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8685,1,0,0,1,4,86.0,0,2018-02-09,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8688,2,0,0,4,61,89.25,1,2017-10-13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8690,2,0,0,1,0,101.0,0,2018-03-01,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8691,2,0,2,5,134,119.85,1,2018-06-09,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8693,2,0,2,2,112,76.5,1,2017-08-07,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8694,2,0,0,1,179,96.3,1,2018-07-01,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8695,2,0,0,3,30,103.5,0,2018-04-19,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8696,2,0,0,1,153,103.5,1,2018-07-29,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8698,2,0,2,1,127,105.3,0,2018-05-22,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8699,1,0,0,2,256,90.0,0,2018-06-15,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8700,2,0,0,3,22,87.78,2,2017-10-21,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8701,2,0,1,2,52,108.11,2,2018-05-27,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8703,2,0,1,3,10,63.75,0,2017-10-22,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8704,1,0,1,3,118,110.0,0,2018-06-06,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8705,2,0,1,1,37,131.4,0,2018-06-04,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8708,2,0,0,3,44,75.0,0,2018-02-17,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8709,2,0,1,0,0,138.0,0,2017-08-17,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8710,2,0,1,2,121,90.0,0,2018-06-24,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8713,2,0,0,3,107,103.5,0,2018-07-07,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8715,2,0,0,2,102,109.0,0,2017-10-16,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8716,2,0,2,4,23,128.0,0,2018-04-10,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8717,2,0,1,4,33,124.25,0,2018-09-12,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8718,2,0,1,4,117,72.25,1,2018-07-27,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8719,2,0,0,4,76,122.4,1,2018-08-10,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8720,2,0,1,2,66,75.0,0,2017-10-09,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8721,1,0,0,2,8,108.57,1,2018-05-10,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8723,1,0,0,2,5,100.0,0,2018-05-24,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8724,2,0,0,2,265,115.0,1,2018-06-24,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8725,2,1,0,1,17,129.0,2,2018-07-29,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8726,2,0,2,2,79,120.6,0,2018-08-26,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8727,1,0,0,3,71,120.0,0,2018-06-14,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8729,3,0,0,5,84,168.3,2,2018-09-13,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8731,2,0,1,3,10,141.0,3,2018-05-09,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8734,2,0,0,1,162,85.5,0,2018-06-30,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8735,2,0,0,2,0,138.0,0,2017-08-12,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8736,2,0,2,2,99,65.0,0,2017-10-30,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8737,2,0,0,5,230,137.0,1,2018-09-06,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8738,2,0,1,0,2,89.0,0,2018-04-24,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8740,3,1,0,2,174,166.7,2,2018-08-02,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8741,3,0,1,4,181,111.5,0,2017-07-01,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8745,2,0,0,2,5,110.0,1,2018-05-24,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8746,3,0,0,2,127,128.7,0,2018-08-26,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8747,2,0,0,2,14,105.0,0,2018-07-21,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8749,2,0,0,2,74,109.0,0,2017-09-18,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
8750,2,0,0,2,265,115.0,1,2018-06-24,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8752,2,0,2,4,77,94.49,1,2018-03-27,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8754,2,0,2,1,173,94.5,1,2018-08-13,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8756,2,0,0,2,256,115.0,1,2018-06-15,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8757,2,0,0,2,94,96.3,1,2018-04-12,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8758,2,0,0,3,44,75.0,0,2018-02-17,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8759,2,0,0,1,56,120.0,0,2018-06-08,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8760,2,0,0,2,211,100.0,0,2018-05-20,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8762,1,0,0,2,257,80.0,0,2017-07-01,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8763,2,0,2,2,72,95.2,1,2018-04-23,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8764,1,0,1,3,7,68.0,0,2018-06-27,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8766,1,0,1,1,48,107.1,1,2018-04-04,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8768,2,0,2,2,69,85.85,0,2018-04-02,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8770,2,1,0,1,45,152.1,1,2018-09-15,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8771,2,0,0,1,4,80.0,0,2018-02-19,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8773,2,0,2,0,17,81.07,1,2018-02-07,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8774,2,0,1,3,1,136.18,0,2018-05-26,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8775,2,0,1,2,58,89.4,2,2018-05-16,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8776,1,0,0,2,25,56.98,0,2018-02-16,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8777,2,0,2,2,204,72.75,0,2017-10-09,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8778,1,0,0,1,15,81.0,0,2018-02-19,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8779,2,2,2,3,85,157.25,1,2018-03-24,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8780,2,0,2,3,74,132.6,3,2018-05-21,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8782,3,0,2,3,47,161.1,2,2018-07-17,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8783,1,0,1,5,48,98.18,0,2018-03-15,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8784,2,0,0,1,105,75.0,0,2018-04-06,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8786,2,0,0,4,110,70.0,1,2017-12-09,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8787,1,1,2,1,6,71.2,1,2018-04-03,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8790,1,0,2,0,38,90.95,0,2018-08-21,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
